Keyword,Definition
Abdominal aorta,"The largest artery in the abdomen, supplying blood to the lower body; located in the retroperitoneum and prone to aneurysms or occlusion."
Abdominal bruit,"An abnormal whooshing sound heard over the abdomen due to turbulent blood flow, often indicating arterial stenosis or aneurysm."
Acceleration index,A Doppler measurement used in renal artery evaluation; values less than 3 m/s² suggest stenosis by indicating delayed systolic upstroke.
Acceleration time,"Time from onset of systole to peak velocity in Doppler waveforms; greater than 70 ms indicates proximal stenosis (e.g., tardus parvus pattern)."
Acute ischemia,"Sudden reduction in blood flow to tissues, often due to emboli or thrombosis, leading to pain, pallor, and potential tissue death."
Acute tubular necrosis,"Death of tubular cells in the kidney, the most common cause of immediate postoperative renal transplant failure, often due to ischemia."
Aliasing,"An artifact in Doppler ultrasound where high velocities appear wrapped around the spectrum, mimicking reversed or low flow."
Amaurosis fugax,"Transient monocular vision loss due to temporary ischemia in the retinal artery, often a hemispheric symptom of carotid disease."
Ankle-brachial index (ABI),"A non-invasive test comparing ankle and brachial systolic pressures; normal range 0.9-1.3, lower values indicate peripheral arterial disease."
Anterior tibial vein,A deep vein in the lower leg accompanying the anterior tibial artery; often paired and drains the anterior compartment.
Aortic coarctation,"Congenital narrowing of the aorta, causing hypertension in the upper body and decreased femoral pulses, often with abdominal bruit."
Aortoiliac occlusive disease,"Blockage or narrowing of the aorta and iliac arteries due to atherosclerosis, leading to claudication or blue toe syndrome."
Arteriovenous fistula (AVF),"Abnormal connection between an artery and vein, causing high-flow shunting; can be post-biopsy or dialysis-related, with low-resistance waveforms."
Atherosclerosis,"Buildup of plaque in arteries, leading to narrowing or occlusion; common cause of peripheral arterial disease and ulcers."
Augmentation,"Increase in venous Doppler signal with distal compression (e.g., calf squeeze), used to assess patency and rule out obstruction."
Azygos vein,A thoracic vein that drains into the superior vena cava; can serve as collateral in central venous obstruction.
Blue toe syndrome,"Embolization of atheromatous debris to toes, causing painful blue discoloration; associated with aortoiliac disease."
Brachial vein,Deep vein in the upper arm accompanying the brachial artery; typically paired and joins to form the axillary vein.
Brachiocephalic vein,Major vein formed by confluence of subclavian and internal jugular veins; drains upper body and can be obstructed in thoracic outlet syndrome.
Budd-Chiari syndrome,"Obstruction of hepatic veins or IVC, leading to liver congestion; not typically associated with tumor invasion."
Buerger's disease (Thromboangiitis obliterans),"Inflammatory disease affecting small arteries/veins in smokers, often involving distal vessels like posterior tibial artery."
Bypass graft,"Surgical conduit (e.g., vein or synthetic) to reroute blood around occluded arteries; monitored with duplex for patency and stenosis."
Carotid endarterectomy,Surgical removal of plaque from the carotid artery to prevent stroke; post-op changes include bulb size alterations.
Celiac artery (axis),"Major branch of abdominal aorta supplying foregut; velocities increase post-meal normally, but can be compressed in median arcuate syndrome."
Celiac axis stenosis,"Narrowing of the celiac artery, causing turbulent flow; differentiated from compression syndromes via breathing maneuvers."
Central arterial occlusion,"Blockage in major proximal arteries, leading to altered flow patterns like high resistive in distal branches."
Central venous obstruction,"Blockage in major veins like SVC or brachiocephalic, causing edema and collateral veins; common in AVF patients with arm swelling."
Cephalic vein,Superficial vein on the lateral upper arm/forearm; drains into axillary vein and used in AVF creation.
Claudication,Leg pain from peripheral arterial disease relieved by rest; first symptom of chronic lower extremity occlusive disease.
Collateral arteries,"Alternative pathways that develop around occlusions; typically more numerous, tortuous, and smaller than native vessels."
Common femoral vein,Major vein at groin level; assessed for phasicity and augmentation to detect iliac or femoral obstruction.
Compartment syndrome,"Increased pressure within muscle fascial compartments, causing ischemia; due to swelling, not atherosclerosis."
Complete palmar arch,Full arterial loop in hand connecting radial and ulnar arteries; patency tested with PPG and compression.
Compressibility,Ultrasound test where veins are compressed transversely; lack indicates thrombosis or incompressibility.
Continuous Doppler waveform,"Non-phasic, steady flow signal; indicates proximal venous obstruction (e.g., brachiocephalic or SVC)."
